LOT#,WAFER#,SITE#,DATE,TIME,PCM1,PCM2,PCM3,PCM4,PCM5,PCM6,PCM7,PCM8,PCM9,PCM10,PCM11,PCM12,PCM13,PCM14,PCM15,PCM16,PCM17,PCM18,PCM19,PCM20,PCM21,PCM22,PCM23,PCM24,PCM25,PCM26,PCM27,PCM28,PCM29,PCM30,PCM31,PCM32,PCM33,PCM34,PCM35,PCM36,PCM37,PCM38,PCM39,PCM40,PCM41,PCM42,PCM43,PCM44,PCM45,PCM46,PCM47,PCM48,PCM49,PCM50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,1,1,7/11/24,17:23:10,7.93E-03,63.075,4.46E-03,112.023,2.38E-03,210.077,1.63E-03,307.778,1.23E-03,405.42,9.95E-04,502.557,1074.644,14.443,-1.478,0.739,5.87E-06,-1.36E-03,1475.797,-9.50E-04,2104.552,-6.19E-04,3233.18,-4.60E-04,4351.203,-3.70E-04,5408.797,-3.09E-04,6466.235,12158.02,984.668,-8.909,4.454,2.41E-03,-3.79E-04,5276.794,-2.20E-04,9088.761,-1.20E-04,16604.81,-8.29E-05,24118.5,-6.32E-05,31634.41,-5.11E-05,39154.88,82757.95,1544.113,-2.052,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,1,2,7/11/24,17:23:10,7.91E-03,63.216,4.45E-03,112.465,2.38E-03,210.508,1.62E-03,308.261,1.23E-03,405.92,9.93E-04,503.396,1075.868,14.628,-1.496,0.748,6.02E-06,-1.37E-03,1455.625,-9.63E-04,2077.985,-6.22E-04,3213.915,-4.65E-04,4303.843,-3.76E-04,5315.375,-3.11E-04,6423.123,12041.61,970.355,-8.864,4.432,2.37E-03,-3.84E-04,5208.469,-2.22E-04,9020.102,-1.21E-04,16521.69,-8.31E-05,24055.98,-6.33E-05,31588.34,-5.10E-05,39191.17,82971.97,1445.121,-1.916,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,1,3,7/11/24,17:23:10,7.76E-03,64.452,4.41E-03,113.343,2.37E-03,211.188,1.62E-03,308.64,1.23E-03,406.527,9.92E-04,504.29,1075.013,15.608,-1.597,0.799,6.86E-06,-1.36E-03,1469.497,-9.65E-04,2073.461,-6.22E-04,3217.395,-4.65E-04,4300.483,-3.72E-04,5381.074,-3.11E-04,6427.396,12098.21,970.305,-8.822,4.411,2.35E-03,-3.82E-04,5241.571,-2.19E-04,9129.002,-1.19E-04,16791.06,-8.19E-05,24436.08,-6.24E-05,32061.3,-5.04E-05,39719.11,84205.66,1454.122,-1.9,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,1,4,7/11/24,17:23:10,8.10E-03,61.75,4.55E-03,109.998,2.42E-03,206.44,1.65E-03,302.345,1.26E-03,398.41,1.01E-03,494.218,1057.099,13.935,-1.45,0.725,5.56E-06,-1.40E-03,1433.568,-9.80E-04,2041.008,-6.29E-04,3179.478,-4.71E-04,4246.068,-3.77E-04,5306.194,-3.15E-04,6355.784,11987.19,945.176,-8.673,4.337,2.25E-03,-3.87E-04,5171.808,-2.24E-04,8947.465,-1.23E-04,16324.93,-8.43E-05,23723.78,-6.42E-05,31160.9,-5.18E-05,38636.14,81685.09,1477.209,-1.989,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,1,5,7/11/24,17:23:10,7.99E-03,62.599,4.50E-03,111.201,2.40E-03,208.797,1.63E-03,306.181,1.24E-03,403.359,9.99E-04,500.324,1070.347,14.041,-1.443,0.721,5.57E-06,-1.39E-03,1437.329,-9.72E-04,2058.147,-6.27E-04,3189.03,-4.70E-04,4252.903,-4.06E-04,4931.83,-3.14E-04,6375.559,11610.91,980.662,-9.291,4.645,2.51E-03,-3.88E-04,5149.781,-2.24E-04,8922.079,-1.23E-04,16296.86,-8.42E-05,23752.74,-6.40E-05,31261.53,-5.16E-05,38793.3,82145.73,1404.243,-1.88,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,2,1,7/11/24,17:41:36,7.79E-03,64.169,4.40E-03,113.555,2.35E-03,212.409,1.61E-03,310.704,1.22E-03,409.008,9.86E-04,507.161,1082.864,15.192,-1.543,0.772,6.45E-06,-1.32E-03,1519.157,-9.33E-04,2143.175,-6.06E-04,3302.963,-4.52E-04,4424.25,-3.63E-04,5506.775,-3.04E-04,6576.936,12334.93,1015.369,-9.055,4.527,2.53E-03,-3.76E-04,5325.679,-2.16E-04,9248.812,-1.18E-04,16895.74,-8.15E-05,24543.16,-6.22E-05,32136.62,-5.03E-05,39782.71,84118.19,1567.086,-2.049,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,2,2,7/11/24,17:41:36,7.88E-03,63.46,4.43E-03,112.904,2.36E-03,211.687,1.61E-03,310.262,1.22E-03,408.908,9.85E-04,507.399,1085.162,14.255,-1.445,0.722,5.66E-06,-1.37E-03,1458.864,-9.53E-04,2098.999,-6.15E-04,3249.871,-4.59E-04,4354.045,-3.68E-04,5429.471,-3.07E-04,6518.353,12296,963.902,-8.623,4.312,2.29E-03,-3.75E-04,5337.917,-2.19E-04,9146.495,-1.20E-04,16666.39,-8.26E-05,24209.03,-6.30E-05,31756.47,-5.08E-05,39350.25,83067.49,1569.477,-2.078,1.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,2,3,7/11/24,17:41:36,7.65E-03,65.372,4.36E-03,114.626,2.35E-03,213.065,1.61E-03,311.397,1.22E-03,409.816,9.84E-04,508.069,1082.171,16.245,-1.651,0.826,7.38E-06,-1.37E-03,1458.587,-9.56E-04,2092.011,-6.18E-04,3237.11,-4.60E-04,4344.596,-3.68E-04,5430.901,-3.08E-04,6490.325,12259.42,963.15,-8.642,4.321,2.29E-03,-3.82E-04,5231.494,-2.18E-04,9155.958,-1.19E-04,16833.18,-8.16E-05,24517.8,-6.21E-05,32186.84,-5.01E-05,39897.3,84636.91,1426.906,-1.855,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,2,4,7/11/24,17:41:36,7.98E-03,62.633,4.49E-03,111.335,2.40E-03,208.15,1.64E-03,304.964,1.25E-03,401.713,1.00E-03,498.003,1064.306,14.515,-1.5,0.75,5.99E-06,-1.37E-03,1462.48,-9.53E-04,2099.506,-6.19E-04,3232.25,-4.64E-04,4313.264,-3.70E-04,5399.757,-3.11E-04,6433.723,12106.73,980.25,-8.906,4.453,2.40E-03,-3.83E-04,5218.785,-2.22E-04,9028.856,-1.22E-04,16441.55,-8.37E-05,23886.33,-6.38E-05,31326.9,-5.14E-05,38878.96,82115.5,1512.206,-2.026,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,2,5,7/11/24,17:41:36,7.80E-03,64.074,4.43E-03,112.992,2.37E-03,211.406,1.62E-03,309.565,1.23E-03,407.322,9.90E-04,505.284,1078.723,15.104,-1.54,0.77,6.40E-06,-1.38E-03,1451.758,-9.62E-04,2078.214,-6.25E-04,3202.393,-4.65E-04,4301.02,-3.71E-04,5385.189,-3.10E-04,6450.843,12171.18,953.185,-8.615,4.307,2.26E-03,-3.84E-04,5205.378,-2.22E-04,9024.782,-1.21E-04,16558.76,-8.28E-05,24145.03,-6.28E-05,31833.4,-5.07E-05,39478.25,83735.41,1375.809,-1.807,0.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
