,LOT#,WAFER#,SITE#,DATE,TIME,PCM1,PCM2,PCM3,PCM4,PCM5,PCM6,PCM7,PCM8,PCM9,PCM10,PCM11,PCM12,PCM13,PCM14,PCM15,PCM16,PCM17,PCM18,PCM19,PCM20,PCM21,PCM22,PCM23,PCM24,PCM25,PCM26,PCM27,PCM28,PCM29,PCM30,PCM31,PCM32,PCM33,PCM34,PCM35,PCM36,PCM37,PCM38,PCM39,PCM40,PCM41,PCM42,PCM43,PCM44,PCM45,PCM46,PCM47,PCM48,PCM49,PCM50,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283
0,UU456,1,1,7/11/24,17:23:10,0.00793,63.075,0.00446,112.023,0.00238,210.077,0.00163,307.778,0.00123,405.42,0.000995,502.557,1074.644,14.443,-1.478,0.739,5.87e-06,-0.00136,1475.797,-0.00095,2104.552,-0.000619,3233.18,-0.00046,4351.203,-0.00037,5408.797,-0.000309,6466.235,12158.02,984.668,-8.909,4.454,0.00241,-0.000379,5276.794,-0.00022,9088.761,-0.00012,16604.81,-8.29e-05,24118.5,-6.32e-05,31634.41,-5.11e-05,39154.88,82757.95,1544.113,-2.052,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UU456,1,2,7/11/24,17:23:10,0.00791,63.216,0.00445,112.465,0.00238,210.508,0.00162,308.261,0.00123,405.92,0.000993,503.396,1075.868,14.628,-1.496,0.748,6.02e-06,-0.00137,1455.625,-0.000963,2077.985,-0.000622,3213.915,-0.000465,4303.843,-0.000376,5315.375,-0.000311,6423.123,12041.61,970.355,-8.864,4.432,0.00237,-0.000384,5208.469,-0.000222,9020.102,-0.000121,16521.69,-8.31e-05,24055.98,-6.33e-05,31588.34,-5.1e-05,39191.17,82971.97,1445.121,-1.916,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UU456,1,3,7/11/24,17:23:10,0.00776,64.452,0.00441,113.343,0.00237,211.188,0.00162,308.64,0.00123,406.527,0.000992,504.29,1075.013,15.608,-1.597,0.799,6.86e-06,-0.00136,1469.497,-0.000965,2073.461,-0.000622,3217.395,-0.000465,4300.483,-0.000372,5381.074,-0.000311,6427.396,12098.21,970.305,-8.822,4.411,0.00235,-0.000382,5241.571,-0.000219,9129.002,-0.000119,16791.06,-8.19e-05,24436.08,-6.24e-05,32061.3,-5.04e-05,39719.11,84205.66,1454.122,-1.9,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UU456,1,4,7/11/24,17:23:10,0.0081,61.75,0.00455,109.998,0.00242,206.44,0.00165,302.345,0.00126,398.41,0.00101,494.218,1057.099,13.935,-1.45,0.725,5.56e-06,-0.0014,1433.568,-0.00098,2041.008,-0.000629,3179.478,-0.000471,4246.068,-0.000377,5306.194,-0.000315,6355.784,11987.19,945.176,-8.673,4.337,0.00225,-0.000387,5171.808,-0.000224,8947.465,-0.000123,16324.93,-8.43e-05,23723.78,-6.42e-05,31160.9,-5.18e-05,38636.14,81685.09,1477.209,-1.989,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UU456,1,5,7/11/24,17:23:10,0.00799,62.599,0.0045,111.201,0.0024,208.797,0.00163,306.181,0.00124,403.359,0.000999,500.324,1070.347,14.041,-1.443,0.721,5.57e-06,-0.00139,1437.329,-0.000972,2058.147,-0.000627,3189.03,-0.00047,4252.903,-0.000406,4931.83,-0.000314,6375.559,11610.91,980.662,-9.291,4.645,0.00251,-0.000388,5149.781,-0.000224,8922.079,-0.000123,16296.86,-8.42e-05,23752.74,-6.4e-05,31261.53,-5.16e-05,38793.3,82145.73,1404.243,-1.88,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UU456,2,1,7/11/24,17:41:36,0.00779,64.169,0.0044,113.555,0.00235,212.409,0.00161,310.704,0.00122,409.008,0.000986,507.161,1082.864,15.192,-1.543,0.772,6.45e-06,-0.00132,1519.157,-0.000933,2143.175,-0.000606,3302.963,-0.000452,4424.25,-0.000363,5506.775,-0.000304,6576.936,12334.93,1015.369,-9.055,4.527,0.00253,-0.000376,5325.679,-0.000216,9248.812,-0.000118,16895.74,-8.15e-05,24543.16,-6.22e-05,32136.62,-5.03e-05,39782.71,84118.19,1567.086,-2.049,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UU456,2,2,7/11/24,17:41:36,0.00788,63.46,0.00443,112.904,0.00236,211.687,0.00161,310.262,0.00122,408.908,0.000985,507.399,1085.162,14.255,-1.445,0.722,5.66e-06,-0.00137,1458.864,-0.000953,2098.999,-0.000615,3249.871,-0.000459,4354.045,-0.000368,5429.471,-0.000307,6518.353,12296.0,963.902,-8.623,4.312,0.00229,-0.000375,5337.917,-0.000219,9146.495,-0.00012,16666.39,-8.26e-05,24209.03,-6.3e-05,31756.47,-5.08e-05,39350.25,83067.49,1569.477,-2.078,1.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UU456,2,3,7/11/24,17:41:36,0.00765,65.372,0.00436,114.626,0.00235,213.065,0.00161,311.397,0.00122,409.816,0.000984,508.069,1082.171,16.245,-1.651,0.826,7.38e-06,-0.00137,1458.587,-0.000956,2092.011,-0.000618,3237.11,-0.00046,4344.596,-0.000368,5430.901,-0.000308,6490.325,12259.42,963.15,-8.642,4.321,0.00229,-0.000382,5231.494,-0.000218,9155.958,-0.000119,16833.18,-8.16e-05,24517.8,-6.21e-05,32186.84,-5.01e-05,39897.3,84636.91,1426.906,-1.855,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UU456,2,4,7/11/24,17:41:36,0.00798,62.633,0.00449,111.335,0.0024,208.15,0.00164,304.964,0.00125,401.713,0.001,498.003,1064.306,14.515,-1.5,0.75,5.99e-06,-0.00137,1462.48,-0.000953,2099.506,-0.000619,3232.25,-0.000464,4313.264,-0.00037,5399.757,-0.000311,6433.723,12106.73,980.25,-8.906,4.453,0.0024,-0.000383,5218.785,-0.000222,9028.856,-0.000122,16441.55,-8.37e-05,23886.33,-6.38e-05,31326.9,-5.14e-05,38878.96,82115.5,1512.206,-2.026,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UU456,2,5,7/11/24,17:41:36,0.0078,64.074,0.00443,112.992,0.00237,211.406,0.00162,309.565,0.00123,407.322,0.00099,505.284,1078.723,15.104,-1.54,0.77,6.4e-06,-0.00138,1451.758,-0.000962,2078.214,-0.000625,3202.393,-0.000465,4301.02,-0.000371,5385.189,-0.00031,6450.843,12171.18,953.185,-8.615,4.307,0.00226,-0.000384,5205.378,-0.000222,9024.782,-0.000121,16558.76,-8.28e-05,24145.03,-6.28e-05,31833.4,-5.07e-05,39478.25,83735.41,1375.809,-1.807,0.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UU456,3,1,7/11/24,18:00:00,0.00797,62.768,0.00451,110.827,0.00241,207.203,0.00165,303.142,0.00125,398.963,0.00101,494.736,1056.005,14.939,-1.556,0.778,6.39e-06,-0.00137,1463.915,-0.000963,2076.339,-0.000627,3188.282,-0.000466,4289.967,-0.000375,5329.312,-0.000314,6372.917,11964.18,977.019,-8.983,4.491,0.00241,-0.000378,5296.736,-0.000217,9210.944,-0.000118,16914.46,-8.13e-05,24596.43,-6.2e-05,32282.28,-5.01e-05,39956.61,84666.52,1492.441,-1.939,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UU456,3,2,7/11/24,18:00:00,0.00803,62.278,0.00451,110.818,0.00241,207.633,0.00165,303.748,0.00125,399.971,0.00101,495.948,1059.907,14.482,-1.503,0.751,5.99e-06,-0.0014,1431.516,-0.000976,2049.649,-0.000628,3182.737,-0.00047,4256.75,-0.000376,5318.88,-0.000314,6370.948,12021.75,945.126,-8.648,4.324,0.00225,-0.000379,5271.912,-0.000219,9134.84,-0.000119,16791.91,-8.19e-05,24426.62,-6.23e-05,32089.18,-5.03e-05,39780.49,84285.97,1454.726,-1.899,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UU456,3,3,7/11/24,18:00:00,0.00782,63.907,0.00447,111.81,0.00241,207.935,0.00165,304.035,0.00125,400.058,0.00101,496.248,1056.889,15.79,-1.643,0.822,7.14e-06,-0.0014,1424.867,-0.000982,2036.857,-0.000631,3170.461,-0.00047,4259.443,-0.000377,5306.968,-0.000315,6358.532,12018.49,936.997,-8.576,4.288,0.00221,-0.000381,5244.113,-0.000217,9211.666,-0.000118,16993.65,-8.08e-05,24761.88,-6.14e-05,32560.83,-4.96e-05,40330.55,85700.38,1390.509,-1.785,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UU456,3,4,7/11/24,18:00:00,0.00822,60.852,0.00463,108.035,0.00247,202.582,0.00168,297.485,0.00127,392.388,0.00103,486.902,1041.904,13.351,-1.41,0.705,5.18e-06,-0.00144,1384.706,-0.001,1991.318,-0.000646,3094.677,-0.00048,4171.438,-0.000383,5222.014,-0.00032,6241.574,11845.12,902.48,-8.381,4.19,0.00208,-0.000399,5013.361,-0.000227,8793.953,-0.000123,16236.01,-8.43e-05,23733.91,-6.4e-05,31251.03,-5.15e-05,38815.66,82546.45,1254.741,-1.672,0.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
